,dropoff_node,pickup_node,distance,dropoff_longitude,dropoff_latitude,pickup_longitude,pickup_latitude
75,21,30,0.07083591075749877,-74.0,40.7,-73.9,40.8
76,29,30,0.05345945719690827,-73.9,40.7,-73.9,40.8
77,36,30,0.07393823744839809,-73.8,40.7,-73.9,40.8
78,22,30,0.039881544968222396,-74.0,40.8,-73.9,40.8
79,30,30,0.03269733336975454,-73.9,40.8,-73.9,40.8
80,37,30,0.056922885692041125,-73.8,40.8,-73.9,40.8
81,23,30,0.07852346090818191,-74.0,40.9,-73.9,40.8
82,31,30,0.07048271680631094,-73.9,40.9,-73.9,40.8
83,22,31,0.08162604804176599,-74.0,40.8,-73.9,40.9
84,30,31,0.03904977235363231,-73.9,40.8,-73.9,40.9
85,37,31,0.08658520753569378,-73.8,40.8,-73.9,40.9
86,31,31,0.016355777929017826,-73.9,40.9,-73.9,40.9
87,32,32,0.009290860547976223,-73.9,41.0,-73.9,41.0
88,33,33,0.006366688385657283,-73.8,40.1,-73.8,40.1
89,34,34,0.007715604253726454,-73.8,40.3,-73.8,40.3
90,28,35,0.10247127670390059,-73.9,40.6,-73.8,40.6
91,35,35,0.018943992169661604,-73.8,40.6,-73.8,40.6
92,71,35,0.05420266297201092,-73.7,40.6,-73.8,40.6
93,29,35,0.09635533948835351,-73.9,40.7,-73.8,40.6
94,36,35,0.0570682319174093,-73.8,40.7,-73.8,40.6
95,41,35,0.07017672405755039,-73.7,40.7,-73.8,40.6
96,37,35,0.10568912839549521,-73.8,40.8,-73.8,40.6
97,35,36,0.051377294257182994,-73.8,40.6,-73.8,40.7
98,29,36,0.028923311212379486,-73.9,40.7,-73.8,40.7
99,36,36,0.023758855255144314,-73.8,40.7,-73.8,40.7
100,41,36,0.043565011719092724,-73.7,40.7,-73.8,40.7
101,30,36,0.06628201244126054,-73.9,40.8,-73.8,40.7
102,37,36,0.0563591381155783,-73.8,40.8,-73.8,40.7
103,42,36,0.10836011186780042,-73.7,40.8,-73.8,40.7
104,29,37,0.06705671825938829,-73.9,40.7,-73.8,40.8
105,36,37,0.04198415447621867,-73.8,40.7,-73.8,40.8
106,30,37,0.0372891730335247,-73.9,40.8,-73.8,40.8
107,37,37,0.01768491345266376,-73.8,40.8,-73.8,40.8
108,42,37,0.053185393417322466,-73.7,40.8,-73.8,40.8
109,31,37,0.1004836429474938,-73.9,40.9,-73.8,40.8
110,37,38,0.013634654121030215,-73.8,40.8,-73.8,40.9
111,38,38,0.014284603779660766,-73.8,40.9,-73.8,40.9
112,43,38,0.05657489821466979,-73.7,40.9,-73.8,40.9
113,39,39,0.036067860585944994,-73.8,41.0,-73.8,41.0
114,40,40,0.004587550544679821,-73.7,40.2,-73.7,40.2
115,36,41,0.019812217846572267,-73.8,40.7,-73.7,40.7
116,41,41,0.00987555185759467,-73.7,40.7,-73.7,40.7
117,37,42,0.028617917761434727,-73.8,40.8,-73.7,40.8
118,42,42,0.019250984984335685,-73.7,40.8,-73.7,40.8
119,43,43,0.009677760743063594,-73.7,40.9,-73.7,40.9
120,44,44,0.020357280957928152,-73.7,41.1,-73.7,41.1
121,45,45,0.03239798495277066,-73.6,40.4,-73.6,40.4
122,72,45,0.025265765335734835,-73.5,40.4,-73.6,40.4
123,73,46,0.012803753355952985,-73.6,40.7,-73.6,40.6
124,47,47,0.006806049147635717,-73.5,40.2,-73.5,40.2
125,48,48,0.01116131479709831,-73.5,40.6,-73.5,40.6
126,50,49,0.02558630919066286,-73.5,40.8,-73.5,40.7
127,50,50,0.02679153457717177,-73.5,40.8,-73.5,40.8
128,51,51,0.03481062671794662,-73.5,40.9,-73.5,40.9
129,74,52,0.10941856062843332,-73.5,41.0,-73.4,40.9
130,75,53,0.062178026022057506,-72.9,40.4,-73.0,40.5
131,54,54,0.011283927862226038,-72.8,40.5,-72.8,40.5
132,76,55,0.06107876387092651,-71.8,42.5,-71.9,42.5
133,56,56,0.018386384364528833,-69.0,40.5,-69.0,40.5
134,57,57,0.010541322307946003,-0.1,0.1,-0.1,0.1
135,58,58,0.010961439834545407,0.0,0.0,0.0,0.0
136,59,59,0.012929546937151355,0.1,0.0,0.1,0.0
137,60,60,0.02075790383794342,40.7,-74.0,40.7,-74.0
138,61,60,0.036978114604825904,40.8,-74.0,40.7,-74.0
139,62,60,0.08960538268918974,40.8,-73.9,40.7,-74.0
140,60,61,0.0454947915600975,40.7,-74.0,40.8,-74.0
141,61,61,0.017840043610933446,40.8,-74.0,40.8,-74.0
142,62,61,0.016229141012393578,40.8,-73.9,40.8,-74.0
143,60,62,0.09515489419362941,40.7,-74.0,40.8,-73.9
144,61,62,0.03406628379363591,40.8,-74.0,40.8,-73.9
145,62,62,0.03355660329950064,40.8,-73.9,40.8,-73.9
0,0,1,0.03463059377323676,0.0,0.0,0.0,0.0
0,0,2,0.03597456993726943,0.0,0.0,0.0,0.0
0,0,3,0.011639710999582414,0.0,0.0,0.0,0.0
0,0,4,0.05082075593881607,0.0,0.0,0.0,0.0
0,0,5,0.08097700796965676,0.0,0.0,0.0,0.0
0,0,6,0.0714876488177653,0.0,0.0,0.0,0.0
0,0,7,0.06654233708469834,0.0,0.0,0.0,0.0
0,0,8,0.043412496952377776,0.0,0.0,0.0,0.0
0,0,9,0.010389740507468308,0.0,0.0,0.0,0.0
0,0,10,0.06771442745412762,0.0,0.0,0.0,0.0
0,0,11,0.08388756288402194,0.0,0.0,0.0,0.0
0,0,12,0.04108467358047705,0.0,0.0,0.0,0.0
0,0,13,0.04217499993998516,0.0,0.0,0.0,0.0
0,0,14,0.0854814833983126,0.0,0.0,0.0,0.0
0,0,15,0.05036759146091306,0.0,0.0,0.0,0.0
0,0,16,0.006395116334730073,0.0,0.0,0.0,0.0
0,0,17,0.057991513386145124,0.0,0.0,0.0,0.0
0,0,18,0.024687415925555685,0.0,0.0,0.0,0.0
0,0,19,0.05566705311883548,0.0,0.0,0.0,0.0
0,0,20,0.006159633905233749,0.0,0.0,0.0,0.0
0,0,21,0.06847791701661043,0.0,0.0,0.0,0.0
0,0,22,0.018492393482657063,0.0,0.0,0.0,0.0
0,0,23,0.02793204596103665,0.0,0.0,0.0,0.0
0,0,24,0.08414228388919118,0.0,0.0,0.0,0.0
0,0,25,0.010798407963919482,0.0,0.0,0.0,0.0
0,0,26,0.03411197764285556,0.0,0.0,0.0,0.0
0,0,27,0.04842380636700786,0.0,0.0,0.0,0.0
0,0,28,0.011648415131585703,0.0,0.0,0.0,0.0
0,0,29,0.013004966935625077,0.0,0.0,0.0,0.0
0,0,30,0.0651068338144376,0.0,0.0,0.0,0.0
0,0,31,0.03644822721439153,0.0,0.0,0.0,0.0
0,0,32,0.020216004258982182,0.0,0.0,0.0,0.0
0,0,33,0.023967885046912274,0.0,0.0,0.0,0.0
0,0,34,0.012598679160574972,0.0,0.0,0.0,0.0
0,0,35,0.06431183029436081,0.0,0.0,0.0,0.0
0,0,36,0.084097014635281,0.0,0.0,0.0,0.0
0,0,37,0.06296293792843877,0.0,0.0,0.0,0.0
0,0,38,0.07214792466697595,0.0,0.0,0.0,0.0
0,0,39,0.0167813449845367,0.0,0.0,0.0,0.0
0,0,40,0.06740528844109771,0.0,0.0,0.0,0.0
0,0,41,0.07237712407538166,0.0,0.0,0.0,0.0
0,0,42,0.06226304627689125,0.0,0.0,0.0,0.0
0,0,43,0.034587599538914014,0.0,0.0,0.0,0.0
0,0,44,0.007418824472571708,0.0,0.0,0.0,0.0
0,0,45,0.08256373416468163,0.0,0.0,0.0,0.0
0,0,46,0.027561696118980503,0.0,0.0,0.0,0.0
0,0,47,0.08103515526940841,0.0,0.0,0.0,0.0
0,0,48,0.007106819290528293,0.0,0.0,0.0,0.0
0,0,49,0.006929334494667845,0.0,0.0,0.0,0.0
0,0,50,0.030068092213035788,0.0,0.0,0.0,0.0
0,0,51,0.08374116505054055,0.0,0.0,0.0,0.0
0,0,52,0.049281461317896263,0.0,0.0,0.0,0.0
0,0,53,0.029139566254616937,0.0,0.0,0.0,0.0
0,0,54,0.010357747856216005,0.0,0.0,0.0,0.0
0,0,55,0.054318805665735735,0.0,0.0,0.0,0.0
0,0,56,0.023813349708747787,0.0,0.0,0.0,0.0
0,0,57,0.012850595424833628,0.0,0.0,0.0,0.0
0,0,58,0.06860404102671197,0.0,0.0,0.0,0.0
0,0,59,0.08929650972495043,0.0,0.0,0.0,0.0
0,0,60,0.03456440532227185,0.0,0.0,0.0,0.0
0,0,61,0.0643008243607743,0.0,0.0,0.0,0.0
0,0,62,0.059048403138885146,0.0,0.0,0.0,0.0
0,0,63,0.024247783947278057,0.0,0.0,0.0,0.0
0,1,0,0.026581485070253486,0.0,0.0,0.0,0.0
0,1,1,0.0621180534965919,0.0,0.0,0.0,0.0
0,1,2,0.0895443768691968,0.0,0.0,0.0,0.0
0,1,3,0.0834357184623802,0.0,0.0,0.0,0.0
0,1,4,0.031029791820210963,0.0,0.0,0.0,0.0
0,1,5,0.029195407750197126,0.0,0.0,0.0,0.0
0,1,6,0.035072101810102924,0.0,0.0,0.0,0.0
0,1,7,0.052210996152393545,0.0,0.0,0.0,0.0
0,1,8,0.037314890518467,0.0,0.0,0.0,0.0
0,1,9,0.035827469427442096,0.0,0.0,0.0,0.0
0,1,10,0.010694395939423392,0.0,0.0,0.0,0.0
0,1,11,0.08085074240682281,0.0,0.0,0.0,0.0
0,1,12,0.02467450693440061,0.0,0.0,0.0,0.0
0,1,13,0.06113279005067805,0.0,0.0,0.0,0.0
0,1,14,0.04980325150931327,0.0,0.0,0.0,0.0
0,1,15,0.023515941397009292,0.0,0.0,0.0,0.0
0,1,16,0.012730109471769661,0.0,0.0,0.0,0.0
0,1,17,0.07632403440362377,0.0,0.0,0.0,0.0
0,1,18,0.04034501799863052,0.0,0.0,0.0,0.0
0,1,19,0.06427049134977506,0.0,0.0,0.0,0.0
0,1,20,0.04492166907164832,0.0,0.0,0.0,0.0
0,1,21,0.026406985438352404,0.0,0.0,0.0,0.0
0,1,22,0.0252788973666462,0.0,0.0,0.0,0.0
0,1,23,0.041910765294151005,0.0,0.0,0.0,0.0
0,1,24,0.039177114333536246,0.0,0.0,0.0,0.0
0,1,25,0.021795299501101942,0.0,0.0,0.0,0.0
0,1,26,0.06609892637059117,0.0,0.0,0.0,0.0
0,1,27,0.012962128686948468,0.0,0.0,0.0,0.0
0,1,28,0.023392615535517323,0.0,0.0,0.0,0.0
0,1,29,0.034589951403101456,0.0,0.0,0.0,0.0
0,1,30,0.042227438277176566,0.0,0.0,0.0,0.0
0,1,31,0.045103602371423045,0.0,0.0,0.0,0.0
0,1,32,0.032086740158495206,0.0,0.0,0.0,0.0
0,1,33,0.07886907081461104,0.0,0.0,0.0,0.0
0,1,34,0.062351020316633504,0.0,0.0,0.0,0.0
0,1,35,0.0714773890205884,0.0,0.0,0.0,0.0
0,1,36,0.009285765212965884,0.0,0.0,0.0,0.0
0,1,37,0.012888662660897074,0.0,0.0,0.0,0.0
0,1,38,0.02551978306565638,0.0,0.0,0.0,0.0
0,1,39,0.015306407447704708,0.0,0.0,0.0,0.0
0,1,40,0.07873583540936277,0.0,0.0,0.0,0.0
0,1,41,0.02042542899359481,0.0,0.0,0.0,0.0
0,1,42,0.022327471435359382,0.0,0.0,0.0,0.0
0,1,43,0.02830549599773917,0.0,0.0,0.0,0.0
0,1,44,0.06124027600812919,0.0,0.0,0.0,0.0
0,1,45,0.04977274588294532,0.0,0.0,0.0,0.0
0,1,46,0.05718199252847978,0.0,0.0,0.0,0.0
0,1,47,0.06131837458057341,0.0,0.0,0.0,0.0
0,1,48,0.05455681111688479,0.0,0.0,0.0,0.0
0,1,49,0.06577257192229223,0.0,0.0,0.0,0.0
0,1,50,0.053623711701375,0.0,0.0,0.0,0.0
0,1,51,0.054529419783606654,0.0,0.0,0.0,0.0
0,1,52,0.016689977897910956,0.0,0.0,0.0,0.0
0,1,53,0.03845675171076109,0.0,0.0,0.0,0.0
0,1,54,0.04934188857711656,0.0,0.0,0.0,0.0
0,1,55,0.043916075144816755,0.0,0.0,0.0,0.0
0,1,56,0.05847002162089937,0.0,0.0,0.0,0.0
0,1,57,0.08467738274945415,0.0,0.0,0.0,0.0
0,1,58,0.08831239272021116,0.0,0.0,0.0,0.0
0,1,59,0.006242807138547595,0.0,0.0,0.0,0.0
0,1,60,0.04997805349560251,0.0,0.0,0.0,0.0
0,1,61,0.029418429801622327,0.0,0.0,0.0,0.0
0,1,62,0.030865341339479845,0.0,0.0,0.0,0.0
0,1,63,0.054114222927665774,0.0,0.0,0.0,0.0
0,2,0,0.06782089894493742,0.0,0.0,0.0,0.0
0,2,1,0.043538191874902106,0.0,0.0,0.0,0.0
0,2,3,0.02795937035857067,0.0,0.0,0.0,0.0
0,2,4,0.007257167204653378,0.0,0.0,0.0,0.0
0,2,5,0.04503561713072513,0.0,0.0,0.0,0.0
0,2,6,0.06373728309125534,0.0,0.0,0.0,0.0
0,2,7,0.039431735246255234,0.0,0.0,0.0,0.0
0,2,8,0.030791175497376116,0.0,0.0,0.0,0.0
0,2,9,0.015567451985843299,0.0,0.0,0.0,0.0
0,2,10,0.055813314623892926,0.0,0.0,0.0,0.0
0,2,11,0.022887947940527745,0.0,0.0,0.0,0.0
0,2,12,0.02070527897825289,0.0,0.0,0.0,0.0
0,2,13,0.017117937017016152,0.0,0.0,0.0,0.0
0,2,14,0.009664441133903884,0.0,0.0,0.0,0.0
0,2,15,0.06173150331509026,0.0,0.0,0.0,0.0
0,2,16,0.016139787313689397,0.0,0.0,0.0,0.0
0,2,17,0.07646809652317904,0.0,0.0,0.0,0.0
0,2,18,0.05683326029135942,0.0,0.0,0.0,0.0
0,2,19,0.05740136832242197,0.0,0.0,0.0,0.0
0,2,20,0.07408963815659768,0.0,0.0,0.0,0.0
0,2,21,0.02348310847908422,0.0,0.0,0.0,0.0
0,2,22,0.028583496432406062,0.0,0.0,0.0,0.0
0,2,23,0.08358540781636312,0.0,0.0,0.0,0.0
0,2,24,0.031296196579848265,0.0,0.0,0.0,0.0
0,2,25,0.08728835517841523,0.0,0.0,0.0,0.0
0,2,26,0.06988287099472372,0.0,0.0,0.0,0.0
0,2,27,0.08117979500626206,0.0,0.0,0.0,0.0
0,2,28,0.08657661903781486,0.0,0.0,0.0,0.0
0,2,29,0.025869157766989795,0.0,0.0,0.0,0.0
0,2,30,0.035415517836618185,0.0,0.0,0.0,0.0
0,2,31,0.028152342656099408,0.0,0.0,0.0,0.0
0,2,32,0.030956583577237254,0.0,0.0,0.0,0.0
0,2,33,0.06269402092207588,0.0,0.0,0.0,0.0
0,2,34,0.03954220495489095,0.0,0.0,0.0,0.0
0,2,35,0.05019826820408788,0.0,0.0,0.0,0.0
0,2,36,0.006328107732532249,0.0,0.0,0.0,0.0
0,2,37,0.05729484606439879,0.0,0.0,0.0,0.0
0,2,38,0.07878091939386649,0.0,0.0,0.0,0.0
0,2,39,0.0445746738877787,0.0,0.0,0.0,0.0
0,2,40,0.08329568174648397,0.0,0.0,0.0,0.0
0,2,41,0.011122310274648528,0.0,0.0,0.0,0.0
0,2,42,0.06852221916186506,0.0,0.0,0.0,0.0
0,2,43,0.08458587451805558,0.0,0.0,0.0,0.0
0,2,44,0.04809776856442202,0.0,0.0,0.0,0.0
0,2,45,0.026295859188288966,0.0,0.0,0.0,0.0
0,2,46,0.027208190019500852,0.0,0.0,0.0,0.0
0,2,47,0.054833234661071636,0.0,0.0,0.0,0.0
0,2,48,0.013829379637206632,0.0,0.0,0.0,0.0
0,2,49,0.08422056059389149,0.0,0.0,0.0,0.0
0,2,50,0.08213721999635072,0.0,0.0,0.0,0.0
0,2,51,0.0604818499211948,0.0,0.0,0.0,0.0
0,2,52,0.0188199775679034,0.0,0.0,0.0,0.0
0,2,53,0.0498564944912111,0.0,0.0,0.0,0.0
0,2,54,0.039162888595254707,0.0,0.0,0.0,0.0
0,2,55,0.04849614998734963,0.0,0.0,0.0,0.0
0,2,56,0.06236306454605125,0.0,0.0,0.0,0.0
0,2,57,0.05195440467081932,0.0,0.0,0.0,0.0
0,2,58,0.0558839789030443,0.0,0.0,0.0,0.0
0,2,59,0.08212213692749283,0.0,0.0,0.0,0.0
0,2,60,0.04036568549727734,0.0,0.0,0.0,0.0
0,2,61,0.027551045916769802,0.0,0.0,0.0,0.0
0,2,62,0.028482554311608455,0.0,0.0,0.0,0.0
0,2,63,0.054765616974481825,0.0,0.0,0.0,0.0
0,3,0,0.04200767077683521,0.0,0.0,0.0,0.0
0,3,1,0.030996726264486435,0.0,0.0,0.0,0.0
0,3,2,0.04639675361574884,0.0,0.0,0.0,0.0
0,3,4,0.07967059740810126,0.0,0.0,0.0,0.0
0,3,5,0.05116117191811759,0.0,0.0,0.0,0.0
0,3,6,0.03661000433595959,0.0,0.0,0.0,0.0
0,3,7,0.036505507681688,0.0,0.0,0.0,0.0
0,3,8,0.035841752084219185,0.0,0.0,0.0,0.0
0,3,9,0.08054971508148222,0.0,0.0,0.0,0.0
0,3,10,0.08568906525182876,0.0,0.0,0.0,0.0
0,3,11,0.03303050620435428,0.0,0.0,0.0,0.0
0,3,12,0.05691020600703,0.0,0.0,0.0,0.0
0,3,13,0.04340730485190567,0.0,0.0,0.0,0.0
0,3,14,0.049320534622333254,0.0,0.0,0.0,0.0
0,3,15,0.05013093867265271,0.0,0.0,0.0,0.0
0,3,16,0.07218100258098976,0.0,0.0,0.0,0.0
0,3,17,0.024193909065431687,0.0,0.0,0.0,0.0
0,3,18,0.014227469165796086,0.0,0.0,0.0,0.0
0,3,19,0.06185520724745789,0.0,0.0,0.0,0.0
0,3,20,0.062410475119411335,0.0,0.0,0.0,0.0
0,3,21,0.05380720194450596,0.0,0.0,0.0,0.0
0,3,22,0.0315480729103985,0.0,0.0,0.0,0.0
0,3,23,0.01377980963741042,0.0,0.0,0.0,0.0
0,3,24,0.06222525353550472,0.0,0.0,0.0,0.0
0,3,25,0.08385127181128353,0.0,0.0,0.0,0.0
0,3,26,0.07129307405955586,0.0,0.0,0.0,0.0
0,3,27,0.009682504971891253,0.0,0.0,0.0,0.0
0,3,28,0.05236657567827224,0.0,0.0,0.0,0.0
0,3,29,0.02293637801923805,0.0,0.0,0.0,0.0
0,3,30,0.027040541875198623,0.0,0.0,0.0,0.0
0,3,31,0.0477860301240614,0.0,0.0,0.0,0.0
0,3,32,0.0577228246965445,0.0,0.0,0.0,0.0
0,3,33,0.029576244146538255,0.0,0.0,0.0,0.0
0,3,34,0.02653366495505266,0.0,0.0,0.0,0.0
0,3,35,0.01631453754866968,0.0,0.0,0.0,0.0
0,3,36,0.05114168843784155,0.0,0.0,0.0,0.0
0,3,37,0.0196802931634223,0.0,0.0,0.0,0.0
0,3,38,0.045777424270799345,0.0,0.0,0.0,0.0
0,3,39,0.04111328330419919,0.0,0.0,0.0,0.0
0,3,40,0.05622453107250121,0.0,0.0,0.0,0.0
0,3,41,0.03403997401511044,0.0,0.0,0.0,0.0
0,3,42,0.048996210457400796,0.0,0.0,0.0,0.0
0,3,43,0.07645767236420843,0.0,0.0,0.0,0.0
0,3,44,0.05284934164417167,0.0,0.0,0.0,0.0
0,3,45,0.07748471428999225,0.0,0.0,0.0,0.0
0,3,46,0.0457719001585352,0.0,0.0,0.0,0.0
0,3,47,0.04916171729478899,0.0,0.0,0.0,0.0
0,3,48,0.08002089914616702,0.0,0.0,0.0,0.0
0,3,49,0.05311459394202161,0.0,0.0,0.0,0.0
0,3,50,0.041886251960559874,0.0,0.0,0.0,0.0
0,3,51,0.03534068674458587,0.0,0.0,0.0,0.0
0,3,52,0.034942894606663055,0.0,0.0,0.0,0.0
0,3,53,0.041039053789889514,0.0,0.0,0.0,0.0
0,3,54,0.08181025003451778,0.0,0.0,0.0,0.0
0,3,55,0.0790234794364543,0.0,0.0,0.0,0.0
0,3,56,0.05723709124170665,0.0,0.0,0.0,0.0
0,3,57,0.007109180008420522,0.0,0.0,0.0,0.0
0,3,58,0.04362516258877216,0.0,0.0,0.0,0.0
0,3,59,0.009738408255678628,0.0,0.0,0.0,0.0
0,3,60,0.015489979429750248,0.0,0.0,0.0,0.0
0,3,61,0.05747884181585867,0.0,0.0,0.0,0.0
0,3,62,0.025824551876891165,0.0,0.0,0.0,0.0
0,3,63,0.020197454498917015,0.0,0.0,0.0,0.0
0,4,0,0.08371552246375003,0.0,0.0,0.0,0.0
0,4,1,0.05787817056317418,0.0,0.0,0.0,0.0
0,4,2,0.06255737742496735,0.0,0.0,0.0,0.0
0,4,3,0.017367169700971227,0.0,0.0,0.0,0.0
0,4,5,0.06550821342163701,0.0,0.0,0.0,0.0
0,4,6,0.008478182440473511,0.0,0.0,0.0,0.0
0,4,7,0.03798011051218444,0.0,0.0,0.0,0.0
0,4,8,0.041367406708598065,0.0,0.0,0.0,0.0
0,4,9,0.07191745786814735,0.0,0.0,0.0,0.0
0,4,10,0.021066446816517734,0.0,0.0,0.0,0.0
0,4,11,0.08191005419084042,0.0,0.0,0.0,0.0
0,4,12,0.03467708022247179,0.0,0.0,0.0,0.0
0,4,13,0.08826434983598987,0.0,0.0,0.0,0.0
0,4,14,0.006400130716214754,0.0,0.0,0.0,0.0
0,4,15,0.038213735474728006,0.0,0.0,0.0,0.0
0,4,16,0.07107995751055933,0.0,0.0,0.0,0.0
0,4,17,0.011239990495526535,0.0,0.0,0.0,0.0
0,4,18,0.06160728003146984,0.0,0.0,0.0,0.0
0,4,19,0.039204791666359665,0.0,0.0,0.0,0.0
0,4,20,0.06722071934714471,0.0,0.0,0.0,0.0
0,4,21,0.0536967125326755,0.0,0.0,0.0,0.0
0,4,22,0.018686863117530764,0.0,0.0,0.0,0.0
0,4,23,0.026342834049949963,0.0,0.0,0.0,0.0
0,4,24,0.061977226344367906,0.0,0.0,0.0,0.0
0,4,25,0.08839009645981732,0.0,0.0,0.0,0.0
0,4,26,0.007750375819596231,0.0,0.0,0.0,0.0
0,4,27,0.0091253551424863,0.0,0.0,0.0,0.0
0,4,28,0.018212696393980574,0.0,0.0,0.0,0.0
0,4,29,0.04645602804727406,0.0,0.0,0.0,0.0
0,4,30,0.08187023998154512,0.0,0.0,0.0,0.0
0,4,31,0.02903500838101427,0.0,0.0,0.0,0.0
0,4,32,0.01709045492004399,0.0,0.0,0.0,0.0
0,4,33,0.08845085953571194,0.0,0.0,0.0,0.0
0,4,34,0.03349751085562002,0.0,0.0,0.0,0.0
0,4,35,0.008277750202144479,0.0,0.0,0.0,0.0
0,4,36,0.046004081337354605,0.0,0.0,0.0,0.0
0,4,37,0.07378082272928442,0.0,0.0,0.0,0.0
0,4,38,0.03582375664377664,0.0,0.0,0.0,0.0
0,4,39,0.016543375774014484,0.0,0.0,0.0,0.0
0,4,40,0.039724151829660374,0.0,0.0,0.0,0.0
